media;pays_siege;theme_media;note;indice_fiabilite;notation;justification
Blake, Cassels & Graydon;Canada;Politique;5;4.5;F;
Blockchain Finance;;Agrégateur;;5;E;Mot-clé
blockchain.news;United Kingdom;Business;5;4.5;F;
Blocks & Files;United Kingdom;Généraliste;5;4.5;F;
blog.google;United Kingdom;Tech;5;5;E;Mot-clé
Bloomberg;United States;Business;1;2;B;Média, auteurs précisés
BNN Bloomberg;Canada;Business;5;4.5;F;
BoE Watch;;Agrégateur;;5;E;Mot-clé
BoJ Watch;;Agrégateur;;5;E;Mot-clé
Bond Market;;Agrégateur;;5;E;Mot-clé
Boston Herald;United Kingdom;Local/Régional;5;4.5;F;
Bozeman Daily Chronicle;United Kingdom;Local/Régional;5;4.5;F;
Brasil Paralelo;Brazil;;;2;B;Média, auteurs précisés
Brave New Coin;New Zealand;Business;5;4.5;F;
Brazil Tech;;Agrégateur;;3;C;Entreprise, auteurs précisés
Breaking Defense;United States;Tensions/guerre/violences/géopolitique;3;2;B;Média, auteurs précisés
Breaking News, Latest News and Videos;United Kingdom;Généraliste;5;4.5;F;Impossible à traiter
Breakingthenews.net;United Kingdom;Généraliste;5;4.5;F;
BriefGlance;United Kingdom;Généraliste;5;4.5;F;
Brookings;United States;Tensions/guerre/violences/géopolitique;3;2;B;Média, auteurs précisés
Brookings Tech;United States;;;2;B;Média, auteurs précisés
Brooks Funeral Home and Cremation Services P.C.;United States;Société/Culture/Positif;5;4.5;F;
Brown Alumni Magazine;United States;Généraliste;5;4.5;F;
Bruegel;Belgium;Généraliste;3;4.5;F;
Built In;United States;Tech;5;4.5;F;
Bulinews;Bulgaria;Généraliste;5;4.5;F;
Bulletin of Atomic Scientists;United States;;;1;A;Think Tank connu
Business Insider;United States;Business;5;2;B;Média en ligne, auteur précisés
Business Insider Africa;South Africa;Business;5;2;B;Média en ligne, auteur précisés
Business News Nigeria;Nigeria;Business;5;4.5;F;
Business Outreach Magazine;India;Business;5;4.5;F;
Business Post;Ireland;Business;5;4.5;F;
Business Standard;India;Business;5;4.5;F;
Business Wire;United States;Business;5;4.5;F;
Businessday NG;Nigeria;Business;5;4.5;F;
BusinessLine;India;Business;5;4.5;F;
C-SPAN;United States;Politique américaine;5;4.5;F;
Caixin Global;China;Généraliste;5;4.5;F;
Caledonian Record;United States;Local/Régional;5;4.5;F;
California State Portal | CA.gov;United States;Politique américaine;5;4.5;F;
Campaign Asia;Singapore;Tech;5;4.5;F;
capacityglobal.com;United Kingdom;Généraliste;5;4.5;F;
Capital Gazette;United States;Local/Régional;5;4.5;F;
Car and Driver;United States;Business;5;4.5;F;
CarbonCredits.com;United States;Environnement;5;4.5;F;
careers.state.gov;United States;Politique américaine;5;4.5;F;
Carnegie;United States;;;1;A;Think Tank connu
Carroll County Mirror-Democrat;United States;Local/Régional;5;4.5;F;
Caspian Post;Azerbaijan;Généraliste;5;4.5;F;
CathNews;Australia;Société/Culture/Positif;5;4.5;F;
CB Insights;United States;Business;2;3;C;Entreprise
CB Insights Unicorn;United States;;;3;C;Entreprise
CBC;United States;Généraliste;5;4.5;F;
CBS News;United States;Généraliste;2;1;A;Presse connue
CBS Sports;United States;Sports;5;4.5;F;
CDC;United States;;;2;B;Agence gouvernementale
Center for Global Development;United States;Politique;5;4.5;F;
Central Bank Rates;;Agrégateur;;3;C;Flux trading en direct
CFO Dive;United States;Business;5;4.5;F;
Ch-aviation;Switzerland;Business;5;4.5;F;
ChainCatcher;China;Généraliste;5;4.5;F;
changelog.com;United States;Tech;5;3;C;Média en ligne, auteur précisés
Channel Africa;South Africa;Généraliste;5;4.5;F;
Channels TV;Nigeria;;;5;E;Mot-clé
Charged EVs;United States;Généraliste;5;4.5;F;
ChartMill;Belgium;Généraliste;5;4.5;F;
Chatham House;;;;3;C;Média en ligne, auteur précisés
Chatham House Tech;United Kingdom;;;3;C;Média en ligne, auteur précisés
Chattanooga Times Free Press;United States;Local/Régional;5;4.5;F;
Chicago Tribune;United States;Généraliste;5;4.5;F;
China Commodity Imports;;Agrégateur;;5;E;Mot-clé
China Daily;China;Généraliste;3;4.5;F;
China Mineral Policy;;Agrégateur;;5;E;Mot-clé
China Startups;China;;;5;E;Mot-clé
China Tech Analysis;;Agrégateur;;5;E;Mot-clé
China Tech Giants;China;;;5;E;Mot-clé
China Tech Policy;;Agrégateur;;5;E;Mot-clé
chinadailyasia.com;China;Généraliste;5;4.5;F;
ChinaTalk | Jordan Schneider;United States;Généraliste;5;4.5;F;
Chosunbiz;South Korea;Généraliste;5;4.5;F;
Chron;United States;Généraliste;5;4.5;F;
CIDRAP;United States;Business;5;4.5;F;
Cineuropa;Belgium;Société/Culture/Positif;5;4.5;F;
City Index UK;United Kingdom;Généraliste;5;4.5;F;
City Journal;United States;Politique américaine;5;4.5;F;
citybiz;United States;Business;5;4.5;F;
Citybuzz;Democratic Republic of Congo;Généraliste;5;4.5;F;
CJDC TV;Canada;Généraliste;5;4.5;F;
Clarín;Argentina;;;1;A;
Cleveland.com;United States;Local/Régional;5;4.5;F;
Cloud Outages;;Agrégateur;;5;E;Mot-clé
Cloud Wars;United States;Tech;5;4.5;F;
CNA;Singapore;;;2;B;Média, auteurs précisés
CNAS;United States;;;2;B;Think tank inconnu
CNBC;United States;Business;2;1;A;Chaine TV connue
CNBC Commodities;United States;;;1;A;Chaine TV connue
CNBC Tech;United States;;;1;A;Chaine TV connue
CNN;United States;Généraliste;2;1;A;Presse connue
Cobalt Market;;Agrégateur;;5;E;Mot-clé
CoinDesk;United States;Business;5;4;D;Site de trading
Coinfomania;United Arab Emirates;Business;5;4.5;F;
CoinGeek;United Kingdom;Business;5;4.5;F;
Cointelegraph;United States;;;4;D;Site de trading
Colorado Public Radio;United States;Local/Régional;5;4.5;F;
Commodity Futures;;Agrégateur;;5;E;Mot-clé
Commodity Trading;;Agrégateur;;5;E;Mot-clé
CommonWealth Beacon;United States;Local/Régional;5;4.5;F;
Community Impact | News;United States;Généraliste;5;4.5;F;
Computer Weekly;United Kingdom;Généraliste;5;4.5;F;
Condia;Nigeria;Généraliste;5;4.5;F;
Congresswoman Ann Wagner (.gov);United States;Politique américaine;5;4.5;F;
connect.brookings.edu;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Conservation Optimism;United Kingdom;;;3;C;Média en ligne, auteur précisés
Copeland Funeral Homes;United States;Société/Culture/Positif;5;4.5;F;
Copper Market;;Agrégateur;;5;E;Mot-clé
Corporate Bonds;;Agrégateur;;5;E;Mot-clé
Corriere della Sera;Italy;;;1;A;Presse connue
CoStar;United States;Business;5;4.5;F;
Council on Foreign Relations;United States;Tensions/guerre/violences/géopolitique;5;1;A;Think tank connu
Courthouse News;United States;Politique;5;4.5;F;
CPPCC National Committee;China;Généraliste;5;4.5;F;
Crain's Detroit;United States;Local/Régional;5;4.5;F;
CrisisWatch;Belgium;;;2;B;Média en ligne, auteur précisés
Critical Mineral Companies;;Agrégateur;;5;E;Mot-clé
Critical Threats;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Crowell & Moring LLP;United States;Politique;5;4.5;F;
Crude Oil Prices Today | OilPrice.com;United Kingdom;Business;5;3;C;Informations marchés
Crunchbase News;United States;Généraliste;2;3;C;Média en ligne, auteur précisés
Crypto Briefing;United States;Business;5;3;C;Média en ligne, auteur précisés
Crypto Economy;Spain;Business;5;4.5;F;
Crypto News;;Agrégateur;;5;E;Mot-clé
Crypto Regulation;;Agrégateur;;5;E;Mot-clé
crypto.news;Seychelles;Business;5;4.5;F;
CryptoPotato;Bulgaria;Business;5;4.5;F;
CryptoRank;United Arab Emirates;Business;5;4.5;F;
CryptoSlate;incertain;;;3;C;Informations marchés
CSIS;United States;;;1;A;Think tank connu
CSIS Tech;United States;;;1;A;Think tank connu
CSIS | Center for Strategic and International Studies;United States;Tensions/guerre/violences/géopolitique;5;1;A;Think tank connu
CTech;Israel;Tech;5;4.5;F;
Cureus;United States;Business;5;4.5;F;
Customer Experience Dive;United States;Business;5;4.5;F;
CX Today;United Kingdom;Généraliste;5;4.5;F;
Dagens Nyheter;Sweden;;;1;A;Presse connue
Daily Energy Insider;United States;Business;5;4.5;F;
Daily Gate City;United States;Local/Régional;5;4.5;F;
Daily Hampshire Gazette;United States;Local/Régional;5;4.5;F;
Daily Hive;Canada;Généraliste;5;4.5;F;
Daily Jefferson County Union;United States;Local/Régional;5;4.5;F;
Daily Trust;Nigeria;Généraliste;3;3;C;Média en ligne, auteur précisés
DailyGood;United States;;;3;C;Média en ligne, auteur précisés
Dailynewsegypt;Egypt;Généraliste;5;4.5;F;
Dallas Independent School District;United States;Généraliste;5;4.5;F;
Dark Reading;United States;;;3;C;Média en ligne, auteur précisés
Data Center Dynamics;United Kingdom;Tech;5;4.5;F;
Data Centre Magazine;United Kingdom;Généraliste;5;4.5;F;
DataDrivenInvestor;Canada;Business;5;4.5;F;
Dawan Africa;Somalia;Généraliste;5;4.5;F;
DAZN;United Kingdom;Sports;5;4.5;F;
DD News;India;Généraliste;5;4.5;F;
De Telegraaf;Netherlands;;;1;A;Presse connue
Deadline;United States;Société/Culture/Positif;5;4.5;F;
Decacorn News;;Agrégateur;;5;E;Mot-clé
Deccan Herald;India;Généraliste;5;4.5;F;
Decrypt;United States;Généraliste;5;3;C;Média en ligne, auteur précisés
Defense News;United States;Tensions/guerre/violences/géopolitique;5;2;B;Média, auteurs précisés
Defense One;United States;;;3;C;Média en ligne, auteur précisés
Defense One - All Content;United States;Tensions/guerre/violences/géopolitique;5;3;C;Média en ligne, auteur précisés
DeFi News;;Agrégateur;;5;E;Mot-clé
Delaware Public Media;United States;Local/Régional;5;4.5;F;
Demo Day News;;Agrégateur;;5;E;Mot-clé
Democracy Now!;United States;Politique américaine;5;4.5;F;
Demócrata;Spain;Généraliste;5;4.5;F;
Der Spiegel;Germany;;;1;A;Presse connue
DEV Community;United States;Tech;5;4;D;Forum
Dev Events;;Agrégateur;;4;D;Forum
Dev.to;United States;;;4;D;Forum
DevOps.com;United States;Généraliste;5;3;C;Média en ligne, auteur précisés
DFRLab;United States;;;2;B;Média, auteurs précisés
DHS;United States;;;2;B;Agence gouvernementale
Die Zeit;Germany;;;1;A;Presse connue
DigiChina;United States;;;3;C;Média en ligne, auteur précisés
diginomica;United Kingdom;Généraliste;5;4.5;F;
Digital Information World;Canada;Tech;5;4.5;F;
Digital Journal;Canada;Tech;5;4.5;F;
Digital Music News;United States;Tech;5;4.5;F;
digital terminal;India;Tech;5;4.5;F;
Dignity Memorial;United States;Société/Culture/Positif;5;4.5;F;
Diplomacy and Law;Ireland;Généraliste;5;4.5;F;
DoD Basic Research Office (.gov);United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
DOJ;United States;;;2;B;Agence gouvernementale
Dollar Watch;;Agrégateur;;5;E;Mot-clé
Down To Earth;India;Environnement;5;4.5;F;
Downtown Bellevue Network;United States;Généraliste;5;4.5;F;
Dubawa;Nigeria;Généraliste;5;4.5;F;
DVIDS;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
DW News;Germany;;;2;B;Média, auteurs précisés
dw.com;Germany;Généraliste;5;2;B;Média, auteurs précisés
Earnings Reports;;Agrégateur;;5;E;Mot-clé
East Idaho News;United States;Local/Régional;5;4.5;F;
Eastman Funeral Home;United States;Société/Culture/Positif;5;4.5;F;
ECB Watch;;Agrégateur;;3;C;Informations marchés
ECFR;Germany;;;1;A;Think tank connu
eciks.org;United States;Généraliste;5;4.5;F;
Economic Data;;Agrégateur;;5;E;Mot-clé
EdTech Innovation Hub;South Africa;Tech;5;4.5;F;
Education News Canada;Canada;Généraliste;5;4.5;F;
EE Times;United States;Généraliste;5;4.5;F;
EFF News;United States;;;2;B;Média, auteurs précisés
El Mundo;Spain;;;1;A;Presse connue
El País;Spain;;;1;A;Presse connue
EL PAÍS English;Spain;Généraliste;2;1;A;Presse connue
El Universo;Ecuador;;;2;B;Média, auteurs précisés
Electrek;United States;Généraliste;5;4.5;F;
Energies Media;Cameroon;Généraliste;5;4.5;F;
Energy Crisis & Shortages;;Agrégateur;;5;E;Mot-clé
Energy Digital;United Kingdom;Tech;5;4.5;F;
Energy Institute Blog;United Kingdom;Business;5;4.5;F;
Energy Intel;United States;;;5;E;Mot-clé
Energy Intelligence;United States;Business;5;4.5;F;
Energy Sanctions;;Agrégateur;;5;E;Mot-clé
EnergyNow.com;Canada;Business;5;4.5;F;
Engadget;United States;;;2;B;Média, auteurs précisés
Entomology Today;United States;Généraliste;5;4.5;F;
ESG in Mining;;Agrégateur;;5;E;Mot-clé
ESPN;United States;Sports;5;2;B;Média, auteurs précisés
ESPN India;India;Sports;5;4.5;F;
ETF Database;United States;Business;5;4.5;F;
ETF Trends;United States;Business;5;4.5;F;
ETF.com;United States;Business;5;4.5;F;
EU Commission Digital;Belgium;;;2;B;Agence gouvernementale
EU Digital Policy;;Agrégateur;;2;B;Agence gouvernementale
EU ISS;;;;2;B;Agence gouvernementale
Eu Startups;Germany;Tech;3;2;B;Agence gouvernementale
EU Tech Policy;;Agrégateur;;2;B;Agence gouvernementale
Euractiv Digital;Belgium;;;2;B;Média, auteurs précisés
Eurasia Review;United States;Politique;5;4.5;F;
EurekAlert!;United States;Tech;5;4.5;F;
Euromaidan Press;Ukraine;Généraliste;5;4.5;F;
Euronews;France;Généraliste;2;1;A;Presse connue
European Commission;Belgium;Politique;5;4.5;F;
EV Battery Supply;;Agrégateur;;5;E;Mot-clé
EWTN News;United States;Société/Culture/Positif;5;4.5;F;
Face2Face Africa;United States;Généraliste;5;4.5;F;
Fair Observer;Switzerland;Tensions/guerre/violences/géopolitique;5;4.5;F;
Fairbanks Daily News-Miner;United States;Local/Régional;5;4.5;F;
Family Wealth Report;United Kingdom;Business;5;4.5;F;
FAO GIEWS;Italy;;;2;B;Agence gouvernementale
FAO News;Italy;;;2;B;Agence gouvernementale
Fars News;Iran;;;5;E;
FAS;United States;;;1;A;Think tank connu
Fast Company;United States;Business;5;3;C;Média en ligne, auteur précisés
Fathom Journal;United Kingdom;Généraliste;5;4.5;F;
Federal News Network;United States;Politique américaine;5;4.5;F;
Federal Reserve;United States;;;2;B;Agence gouvernementale
Federal Reserve Bank of Dallas;United States;Business;5;4.5;F;
FEMA;United States;;;2;B;Agence gouvernementale
Fierce Healthcare;United States;Business;5;4.5;F;
Fierce Network;United States;Généraliste;5;4.5;F;
Fierce Pharma;United States;Business;5;4.5;F;
Financial Afrik;Senegal;Business;5;4.5;F;
Financial Post;Canada;Business;5;4.5;F;
Financial Regulation;;Agrégateur;;5;E;Mot-clé
Financial Times;United Kingdom;Business;2;1;A;Presse connue
Finimize;United Kingdom;Généraliste;5;4.5;F;
FinSMEs;Italy;Généraliste;5;4.5;F;
FinTech LATAM;;Agrégateur;;5;E;Mot-clé
Fintech News;;Agrégateur;;5;E;Mot-clé
fintechbiznews.com;India;Tech;5;4.5;F;
Firstpost;India;Généraliste;5;4.5;F;
Foley Hoag;United States;Politique;5;4.5;F;
Folha de S.Paulo;Brazil;Généraliste;5;2;B;Média, auteurs précisés
Food and Agriculture Organization;Italy;Environnement;5;4.5;F;
Forbes;United States;Business;5;1;A;Presse connue
Forbes Australia;Australia;Business;5;1;A;Presse connue
Foreign Affairs;United States;Tensions/guerre/violences/géopolitique;3;1;A;Think tank connu
Foreign Policy;United States;Tensions/guerre/violences/géopolitique;3;1;A;Think tank connu
Foreign Policy Journal;United States;Tensions/guerre/violences/géopolitique;5;1;A;Think tank connu
Forex News;;Agrégateur;;5;E;Mot-clé
FOREX.com;United States;Généraliste;5;4.5;F;
ForkLog;Ukraine;Généraliste;5;4.5;F;
Fort Worth Report;United States;Local/Régional;5;4.5;F;
Fortune;United States;Business;5;1;A;Presse connue
Fortune Term Sheet;United States;;;1;A;Presse connue
Foundation for Defense of Democracies;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
FOX 8 News;United States;Local/Régional;5;4.5;F;
Fox Business;United States;Business;5;4.5;F;
Fox News;United States;Politique américaine;2;2;B;Presse connue (peu fiable)
FOX Sports;United States;Sports;5;2;B;Presse connue (peu fiable)
FOX10 News;United States;Local/Régional;5;4.5;F;
FOX19 | Cincinnati;United States;Local/Régional;5;4.5;F;
fox56.com;United States;Local/Régional;5;4.5;F;
fox61.com;United States;Local/Régional;5;4.5;F;
France 24;France;Généraliste;2;2;B;Presse connue (spectre diplomatique)
freebeacon.com;United States;Généraliste;5;4.5;F;
Freeport & Copper Miners;;Agrégateur;;5;E;Mot-clé
FreshPlaza;Netherlands;Généraliste;5;4.5;F;
Front Office Sports;United States;Sports;5;4.5;F;
FT Energy;United Kingdom;;;3;C;Média en ligne, auteur précisés
fundsforNGOs;India;Business;5;4.5;F;
Futures Trading;;Agrégateur;;5;E;Mot-clé
Futurism;United States;Généraliste;5;4.5;F;
FX Empire Gold;cyprus;;;3;C;Informations marchés
FXEmpire;Cyprus;Business;5;4.5;F;
FXLeaders;Cyprus;Généraliste;5;4.5;F;
Fédération internationale pour les droits humains;France;Généraliste;5;4.5;F;
Game Developer;United States;Tech;5;4.5;F;
GameSpot;United States;Tech;5;4.5;F;
GamingBolt;India;Tech;5;4.5;F;
Gavi, the Vaccine Alliance;Switzerland;Politique;5;4.5;F;
GazetteXtra;United States;Local/Régional;5;4.5;F;
gCaptain;United States;;;3;C;Média en ligne, auteur précisés
GeekWire;United States;Tech;5;4.5;F;
Gematsu;Japan;Généraliste;5;4.5;F;
Geopolitical Monitor;Canada;Tensions/guerre/violences/géopolitique;5;4.5;F;
gHacks;Germany;Généraliste;5;4.5;F;
GitHub Blog;United States;;;4;D;Forum
GitHub Trending;United States;;;4;D;Forum
GITOC;Switzerland;;;1;A;Think tank connu
Gizmodo;United States;Tech;5;4.5;F;
Glencore & Vale;;Agrégateur;;3;C;Entreprise
Global Banking & Finance Review;United Kingdom;Business;5;4.5;F;
Global Bar Magazine;Sweden;Généraliste;5;4.5;F;
Global Central Banks;;Agrégateur;;5;E;Mot-clé
Global Drinks Intel;United Kingdom;Sports;5;4.5;F;
Global Edition;United States;Généraliste;5;4.5;F;
Global Policy Journal;United Kingdom;Généraliste;5;4.5;F;
Global South Opportunities;Ireland;Généraliste;5;4.5;F;
GlobeNewswire;United States;Généraliste;5;4.5;F;
GMF;United States;;;4.5;F;
GNN Animals;United States;;;3;C;Média en ligne, auteur précisés
GNN Earth;United States;;;3;C;Média en ligne, auteur précisés
GNN Health;United States;;;3;C;Média en ligne, auteur précisés
GNN Heroes;United States;;;3;C;Média en ligne, auteur précisés
GNN Heroes Spotlight;United States;;;3;C;Média en ligne, auteur précisés
GNN Science;United States;;;3;C;Média en ligne, auteur précisés
Goal.com;United Kingdom;Sports;5;4.5;F;
Gold & Metals;;Agrégateur;;5;E;Mot-clé
Gold Majors;;Agrégateur;;5;E;Mot-clé
Gold Price News;;Agrégateur;;5;E;Mot-clé
Gold Silver Worlds;aggrégateur;;;5;E;Mot-clé
GoldSeek;incertain;;;3;C;Informations marchés
GolfWRX;United States;Sports;5;4.5;F;
Good Good Good;United States;;;3;C;Média en ligne, auteur précisés
GOOD Magazine;United States;;;3;C;Média en ligne, auteur précisés
Good Morning America;United States;Généraliste;5;4.5;F;
Good News Network;United States;;;5;E;Mot-clé
Google Business Profile;United States;Business;5;4.5;F;
Goshen News;United States;Local/Régional;5;4.5;F;
GOV.UK;United Kingdom;Politique;5;2;B;Agence gouvernementale
Greater Good (Berkeley);United States;;;2;B;Think tank
Greenfield Recorder;United States;Local/Régional;5;4.5;F;
Groww;India;Business;5;4.5;F;
guardonline.com;United States;Généraliste;5;4.5;F;
Gulf Coast News and Weather;United States;Local/Régional;5;4.5;F;
Gulf FDI;;Agrégateur;;5;E;Mot-clé
Gulf Investments;;Agrégateur;;5;E;Mot-clé
GuruFocus;United States;Business;5;4.5;F;
Haaretz;Israel;;;1;A;Presse connue
Hacker News;United States;;;5;E;Mot-clé
Hacker News: Front Page;United States;Tech;4;5;E;Mot-clé
HackerNoon;Canada;Tech;5;4.5;F;
Happy Mag;Australia;Généraliste;5;4.5;F;
Hard Fork (NYT);United States;;;1;A;Presse connue
HarianBasis.co;Indonesia;Généraliste;5;4.5;F;
Hart Energy;United States;Business;5;4.5;F;
Hawaii News Now;United States;Local/Régional;5;4.5;F;
